epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,8070.18,1.53384,1.07127,0.93576,0.72367,0.60273,0.66261,0.46844,1.4925,1.02566,0.93797,0.000293059,0.000293059,0.000293059
78,8169.48,1.54244,1.06545,0.93647,0.70742,0.60558,0.64617,0.46118,1.48874,1.01507,0.93735,0.000289178,0.000289178,0.000289178
79,8265.95,1.54316,1.06883,0.93579,0.76858,0.58716,0.66002,0.47162,1.48827,1.01256,0.93812,0.000285298,0.000285298,0.000285298
80,8364.12,1.5363,1.06775,0.93359,0.75204,0.60391,0.665,0.47263,1.50179,1.01014,0.93822,0.000281417,0.000281417,0.000281417
81,8461.58,1.5488,1.05335,0.93449,0.79868,0.5917,0.68023,0.4887,1.46946,0.99379,0.93412,0.000277536,0.000277536,0.000277536
82,8558.43,1.51392,1.04539,0.92956,0.7375,0.61248,0.6627,0.47199,1.51011,0.99592,0.93838,0.000273655,0.000273655,0.000273655
83,8657.45,1.52164,1.04541,0.93209,0.7862,0.58946,0.67501,0.48699,1.46899,0.99681,0.93392,0.000269774,0.000269774,0.000269774
84,8754.46,1.52901,1.03509,0.92999,0.75688,0.61164,0.68025,0.48724,1.46976,0.9842,0.93268,0.000265894,0.000265894,0.000265894
85,8852.8,1.48995,1.03173,0.92834,0.76379,0.62008,0.68285,0.48536,1.48394,0.98705,0.93373,0.000262013,0.000262013,0.000262013
86,8951.15,1.4973,1.01157,0.92631,0.74276,0.61915,0.67122,0.48369,1.47056,0.97324,0.9317,0.000258132,0.000258132,0.000258132
87,9048.91,1.51736,1.02954,0.92846,0.75722,0.612,0.677,0.4826,1.4877,0.98836,0.93836,0.000254251,0.000254251,0.000254251
88,9147.83,1.52065,1.03902,0.93053,0.75571,0.62282,0.68065,0.48434,1.47355,0.9954,0.93439,0.00025037,0.00025037,0.00025037
89,9245.54,1.49944,1.02563,0.92373,0.75521,0.63184,0.68989,0.49467,1.47975,0.98285,0.93402,0.00024649,0.00024649,0.00024649
90,9342.41,1.49707,1.00533,0.92321,0.77191,0.62914,0.69382,0.49934,1.46169,0.96791,0.9309,0.000242609,0.000242609,0.000242609
91,9441.97,1.50286,1.02028,0.92445,0.75273,0.6309,0.68516,0.49224,1.48277,0.97837,0.93223,0.000238728,0.000238728,0.000238728
92,9586.85,1.50416,1.01087,0.92241,0.76686,0.62646,0.68846,0.49802,1.46219,0.97077,0.92899,0.000234847,0.000234847,0.000234847
